cusip,numtrds,NAME,CPN,MATURITY,STATE_CODE,CALLABLE,NXT_CALL_DT,NXT_CALL_PX,NXT_PAR_CALL_DT,ISSUER_INDUSTRY,CREDIT_ENHANCEMENTS,MUNI_FED_TAX,MUNI_MIN_TAX,MUNI_BANK_QUAL,INSURANCE_STATUS,SECONDARILY_INSURED,RTG_MOODY,RTG_MDY_LT_UNDL,RTG_SP,RTG_SP_UNDERLYING,MUNI_MTY_SIZE,MUNI_ISSUE_SIZE,MUNI_FIRST_ALLOWABLE_TRADE_DATE,RatingLevel,RatingLevel_Under
57563CBC5,18,MA TRN-B-CONTRACT,5,1/1/2035,MA,Y,1/1/2020,100,1/1/2020,TRN,,N,N,N,N,N,Aa3,Aa3,AA,NR,113345000,853555000,4/1/2010,2.5,3
478271JF7,11,JOHNSON CITY H/E-A,5.625,7/1/2030,TN,Y,7/1/2020,100,7/1/2020,MED,,N,N,N,N,N,Baa1,Baa1,BBB+,NR,19385000,168080000,4/1/2010,7,7
478271JG5,25,JOHNSON CITY H/E-A,6,7/1/2038,TN,Y,7/1/2020,100,7/1/2020,MED,,N,N,N,N,N,Baa1,Baa1,BBB+,NR,55480000,168080000,4/1/2010,7,7
130685A26,23,CA PUB WKS-A1-VAR CAP,6,3/1/2035,CA,Y,3/1/2020,100,3/1/2020,FAC,,N,N,N,N,N,Baa2,Baa2,BBB+,NR,60100000,215735000,3/31/2010,7.5,8
130685ZZ6,20,CA PUB WKS-A1-VAR CAP,5.75,3/1/2030,CA,Y,3/1/2020,100,3/1/2020,FAC,,N,N,N,N,N,Baa2,Baa2,BBB+,NR,45255000,215735000,3/31/2010,7.5,8
762324DB4,11,RI TPK-A,5,12/1/2039,RI,Y,12/1/2020,100,12/1/2020,TRN,,N,N,N,N,N,NR,NR,A-,NR,13465000,50000000,3/26/2010,6,100
74526QVX7,92,PR ELEC PWR-XX,5.25,7/1/2040,PR,Y,7/1/2020,100,7/1/2020,PWR,,N,N,N,N,N,A3,A3,BBB+,NR,588360000,822210000,3/26/2010,6.5,6
74526QVY5,10,PR ELEC PWR-XX,4.625,7/1/2025,PR,Y,7/1/2020,100,7/1/2020,PWR,,N,N,N,N,N,A3,A3,BBB+,NR,14310000,822210000,3/26/2010,6.5,6
74526QWB4,45,PR ELEC PWR-XX,5.25,7/1/2035,PR,Y,7/1/2015,100,7/1/2015,PWR,,N,N,N,N,N,A3,A3,BBB+,NR,60520000,822210000,3/26/2010,6.5,6
419794XP2,24,HI ARPTS,5,7/1/2034,HI,Y,7/1/2020,100,7/1/2020,APT,,N,N,N,N,N,A2,A2,A-,NR,107785000,644980000,3/25/2010,5.5,5
419794XR8,35,HI ARPTS,5,7/1/2039,HI,Y,7/1/2020,100,7/1/2020,APT,,N,N,N,N,N,A2,A2,A-,NR,148620000,644980000,3/25/2010,5.5,5
041438GE6,16,ARLINGTON INDL-REF,5,7/1/2031,VA,Y,7/1/2020,100,7/1/2020,MED,,N,N,N,N,N,A2,A2,NR,NR,43520000,139410000,3/25/2010,5,5
544435K41,20,LOS ANGELES DEPT APT,5,5/15/2040,CA,Y,5/15/2020,100,5/15/2020,APT,,N,N,N,N,N,Aa3,Aa3,AA,NR,359770000,930155000,3/25/2010,2.5,3
544435L99,10,LOS ANGELES DEPT APT,5,5/15/2035,CA,Y,5/15/2020,100,5/15/2020,APT,,N,N,N,N,N,Aa3,Aa3,AA,NR,127740000,930155000,3/25/2010,2.5,3
97710BUJ9,10,WI HLTH-A-BELOIT CLG,6.125,6/1/2039,WI,Y,6/1/2020,100,6/1/2020,MED,,N,N,N,N,N,Baa2,Baa2,NR,NR,11375000,28640000,3/25/2010,8,8
246387PA6,25,DE ECON-REF-GAS FACS,5.4,2/1/2031,DE,Y,8/1/2020,100,8/1/2020,DEV,,N,N,N,N,N,Baa2,Baa2,BBB,NR,78400000,78400000,3/25/2010,8,8
176553EN1,41,CITIZENS PPTY-A1-HIGH,4.25,6/1/2017,FL,N,,,,GEN,,N,N,N,N,N,A2,A2,A+,NR,82070000,1550000000,3/24/2010,4.5,5
176553EP6,21,CITIZENS PPTY-A1-HIGH,5,6/1/2013,FL,N,,,,GEN,,N,N,N,N,N,A2,A2,A+,NR,200510000,1550000000,3/24/2010,4.5,5
176553EQ4,14,CITIZENS PPTY-A1-HIGH,5,6/1/2014,FL,N,,,,GEN,,N,N,N,N,N,A2,A2,A+,NR,89305000,1550000000,3/24/2010,4.5,5
176553ER2,17,CITIZENS PPTY-A1-HIGH,5,6/1/2015,FL,N,,,,GEN,,N,N,N,N,N,A2,A2,A+,NR,324950000,1550000000,3/24/2010,4.5,5
176553ES0,37,CITIZENS PPTY-A1-HIGH,5,6/1/2016,FL,N,,,,GEN,,N,N,N,N,N,A2,A2,A+,NR,268960000,1550000000,3/24/2010,4.5,5
176553ET8,66,CITIZENS PPTY-A1-HIGH,5.25,6/1/2017,FL,N,,,,GEN,,N,N,N,N,N,A2,A2,A+,NR,317930000,1550000000,3/24/2010,4.5,5
176553EW1,34,CITIZENS PPTY-A1-HIGH,4,6/1/2017,FL,N,,,,GEN,AGM,N,N,N,Y,N,Aa3,A2,AAA,A+,77895000,1550000000,3/24/2010,1.5,4.5
176553EY7,11,CITIZENS PPTY-A1-HIGH,5,6/1/2015,FL,N,,,,GEN,AGM,N,N,N,Y,N,Aa3,A2,AAA,A+,73770000,1550000000,3/24/2010,1.5,4.5
176553EZ4,13,CITIZENS PPTY-A1-HIGH,5,6/1/2017,FL,N,,,,GEN,AGM,N,N,N,Y,N,Aa3,A2,AAA,A+,47105000,1550000000,3/24/2010,1.5,4.5
686543QT9,11,ORLANDO EXPWY AUTH-A,5,7/1/2040,FL,Y,7/1/2020,100,7/1/2020,TRN,,N,N,N,N,N,A1,A1,A,NR,136360000,334565000,3/19/2010,4.5,4
79765A4P8,11,SAN FRANCISCO ARPT-C,5,5/1/2019,CA,N,,,,APT,,N,N,N,N,N,A1,A1,A,NR,43600000,618565000,3/18/2010,4.5,4
771902FN8,23,ROCHESTER HLTH CARE-D,5,11/15/2038,MN,Y,5/15/2020,100,5/15/2020,MED,,N,N,N,N,N,Aa2,Aa2,AA-,NR,48850000,60000000,3/18/2010,2.5,2
771902FQ1,20,ROCHESTER HLTH CARE-E,5,11/15/2038,MN,Y,5/15/2020,100,5/15/2020,MED,,N,N,N,N,N,Aa2,Aa2,AA-,NR,57030000,70000000,3/18/2010,2.5,2
64972FM37,14,NYC WTR-2ND GEN-FF,5,6/15/2031,NY,Y,6/15/2020,100,6/15/2020,UTL,,N,N,N,N,N,Aa3,Aa3,AA+,NR,54150000,359110000,3/18/2010,2,3
64972FN44,11,NYC WTR-2ND GEN-FF,5,6/15/2016,NY,N,,,,UTL,,N,N,N,N,N,Aa3,Aa3,AA+,NR,16875000,359110000,3/18/2010,2,3
64972FN51,25,NYC WTR-2ND GEN-FF,5,6/15/2025,NY,Y,6/15/2020,100,6/15/2020,UTL,,N,N,N,N,N,Aa3,Aa3,AA+,NR,93000000,359110000,3/18/2010,2,3
64972FN69,10,NYC WTR-2ND GEN-FF,5,6/15/2028,NY,Y,6/15/2020,100,6/15/2020,UTL,,N,N,N,N,N,Aa3,Aa3,AA+,NR,22385000,359110000,3/18/2010,2,3
2548396V0,15,DC REV-A-NATL PUB,5,4/1/2043,DC,Y,4/1/2015,100,4/1/2015,GEN,,N,N,N,N,N,Aa3,Aa3,AA-,NR,75000000,162125000,3/17/2010,3,3
235219AJ1,10,DALLAS-REF-IMPT-A,5,2/15/2019,TX,N,,,,GOB,,N,N,N,N,N,Aa1,Aa1,AA+,NR,51365000,281995000,3/12/2010,1,1
13063BDX7,10,CA ST-VAR PURP,2,3/1/2012,CA,N,,,,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,45000000,2500000000,3/12/2010,6.5,7
13063BDY5,17,CA ST-VAR PURP,3,3/1/2014,CA,N,,,,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,34985000,2500000000,3/12/2010,6.5,7
13063BDZ2,16,CA ST-VAR PURP,3,3/1/2015,CA,N,,,,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,40000000,2500000000,3/12/2010,6.5,7
13063BEA6,10,CA ST-VAR PURP,3.5,3/1/2016,CA,N,,,,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,25000000,2500000000,3/12/2010,6.5,7
13063BEB4,15,CA ST-VAR PURP,3.5,3/1/2017,CA,N,,,,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,29000000,2500000000,3/12/2010,6.5,7
13063BEE8,27,CA ST-VAR PURP,4.5,3/1/2021,CA,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,63455000,2500000000,3/12/2010,6.5,7
13063BEF5,10,CA ST-VAR PURP,4.625,3/1/2022,CA,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,37340000,2500000000,3/12/2010,6.5,7
13063BEJ7,19,CA ST-VAR PURP,5,3/1/2025,CA,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,40070000,2500000000,3/12/2010,6.5,7
13063BEK4,46,CA ST-VAR PURP,5,3/1/2026,CA,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,92250000,2500000000,3/12/2010,6.5,7
13063BEL2,25,CA ST-VAR PURP,5,3/1/2027,CA,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,56445000,2500000000,3/12/2010,6.5,7
13063BEM0,11,CA ST-VAR PURP,5.25,3/1/2028,CA,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,31500000,2500000000,3/12/2010,6.5,7
13063BEN8,14,CA ST-VAR PURP,5.3,3/1/2029,CA,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,25185000,2500000000,3/12/2010,6.5,7
13063BEP3,31,CA ST-VAR PURP,5.375,3/1/2030,CA,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,91610000,2500000000,3/12/2010,6.5,7
13063BEQ1,33,CA ST-VAR PURP,5.25,3/1/2030,CA,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,321940000,2500000000,3/12/2010,6.5,7
13063BER9,16,CA ST-VAR PURP,6,3/1/2033,CA,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,352265000,2500000000,3/12/2010,6.5,7
13063BES7,52,CA ST-VAR PURP,5.5,3/1/2040,CA,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,500000000,2500000000,3/12/2010,6.5,7
13063BET5,10,CA ST-VAR PURP,5,3/1/2012,CA,N,,,,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,30000000,2500000000,3/12/2010,6.5,7
13063BEU2,18,CA ST-VAR PURP,5,3/1/2014,CA,N,,,,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,35015000,2500000000,3/12/2010,6.5,7
13063BEV0,13,CA ST-VAR PURP,5,3/1/2015,CA,N,,,,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,25000000,2500000000,3/12/2010,6.5,7
13063BEW8,18,CA ST-VAR PURP,5,3/1/2016,CA,N,,,,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,35000000,2500000000,3/12/2010,6.5,7
13063BEX6,11,CA ST-VAR PURP,5,3/1/2017,CA,N,,,,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,21000000,2500000000,3/12/2010,6.5,7
13063BEY4,12,CA ST-VAR PURP,5,3/1/2018,CA,N,,,,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,20000000,2500000000,3/12/2010,6.5,7
13063BFA5,33,CA ST-VAR PURP,5,3/1/2021,CA,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,70515000,2500000000,3/12/2010,6.5,7
13063BFB3,20,CA ST-VAR PURP,5,3/1/2022,CA,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,45290000,2500000000,3/12/2010,6.5,7
13063BFE7,83,CA ST-VAR PURP,5.6,3/1/2036,CA,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Baa1,Baa1,A-,NR,258225000,2500000000,3/12/2010,6.5,7
20774UY58,33,CT H/E,5,11/15/2040,CT,Y,11/15/2019,100,11/15/2019,MED,,N,N,N,N,N,Aa1,Aa1,AA,NR,93265000,93265000,3/11/2010,1.5,1
78324PAB5,58,RUTHERFORD HLTH,5,11/15/2040,TN,Y,11/15/2019,100,11/15/2019,MED,,N,N,N,N,N,Aa1,Aa1,AA,NR,145730000,647880000,3/11/2010,1.5,1
97710BSU7,23,WI ST HLTH-ASCENSION,5,11/15/2033,WI,Y,11/15/2019,100,11/15/2019,MED,,N,N,N,N,N,Aa1,Aa1,AA,NR,133050000,647880000,3/11/2010,1.5,1
650014TL7,12,NYS TWY-A,5,4/1/2021,NY,Y,4/1/2020,100,4/1/2020,TRN,,N,N,N,N,N,NR,NR,AA,NR,28295000,577075000,3/10/2010,2,100
650014TP8,17,NYS TWY-A,5,4/1/2026,NY,Y,4/1/2020,100,4/1/2020,TRN,,N,N,N,N,N,NR,NR,AA,NR,35115000,577075000,3/10/2010,2,100
87638TEB5,17,TARRANT CULT ED FACS,5,11/15/2029,TX,Y,11/15/2019,100,11/15/2019,MED,,N,N,N,N,N,Aa1,Aa1,AA,NR,63470000,647880000,3/10/2010,1.5,1
34153PSW9,10,FL ST BOE-C-CAP OUTLA,5,6/1/2022,FL,Y,6/1/2019,100,6/1/2019,EDU,,N,N,N,N,N,Aa1,Aa1,AAA,NR,80790000,252080000,3/9/2010,0.5,1
649902Q89,10,NY DORM AUTH-SER A,5,2/15/2017,NY,N,,,,HGR,,N,N,N,N,N,NR,NR,AAA,NR,31060000,591380000,3/5/2010,0,100
649902R39,19,NY DORM AUTH-SER A,5,2/15/2019,NY,N,,,,HGR,,N,N,N,N,N,NR,NR,AAA,NR,36670000,591380000,3/5/2010,0,100
649902R47,13,NY DORM AUTH-SER A,5,2/15/2020,NY,N,,,,HGR,,N,N,N,N,N,NR,NR,AAA,NR,39830000,591380000,3/5/2010,0,100
85230MCA0,20,ST MARY HSP-A-CATHOLI,5,11/15/2040,PA,Y,11/15/2020,100,11/15/2020,MED,,N,N,N,N,N,A1,A1,A,NR,46640000,418260000,3/5/2010,4.5,4
20774UW43,12,CT H/E-NEW MONEY-O,5,7/1/2035,CT,Y,7/1/2020,100,7/1/2020,HGR,,N,N,N,N,N,A3,A3,A-,NR,29070000,84915000,3/4/2010,6,6
20774UW50,21,CT H/E-NEW MONEY-O,5,7/1/2040,CT,Y,7/1/2020,100,7/1/2020,HGR,,N,N,N,N,N,A3,A3,A-,NR,41805000,84915000,3/4/2010,6,6
708796UX3,10,PA SFM-SER 108B,4.5,10/1/2025,PA,Y,10/1/2019,100,10/1/2019,SFH,,N,N,N,N,N,Aa2,Aa2,AA+,NR,20620000,140210000,3/4/2010,1.5,2
708796UY1,20,PA SFM-SER 108B,4.75,10/1/2028,PA,Y,10/1/2019,100,10/1/2019,SFH,,N,N,N,N,N,Aa2,Aa2,AA+,NR,28915000,140210000,3/4/2010,1.5,2
9151372S1,10,UNIV TX,5,8/15/2016,TX,N,,,,HGR,,N,N,N,N,N,Aaa,Aaa,AAA,NR,13965000,331415000,3/4/2010,0,0
9151372Y8,12,UNIV TX,5,8/15/2022,TX,Y,2/15/2020,100,2/15/2020,HGR,,N,N,N,N,N,Aaa,Aaa,AAA,NR,39465000,331415000,3/4/2010,0,0
9151372Z5,17,UNIV TX,5,8/15/2023,TX,Y,2/15/2020,100,2/15/2020,HGR,,N,N,N,N,N,Aaa,Aaa,AAA,NR,47210000,331415000,3/4/2010,0,0
9151373E1,11,UNIV TX,5,8/15/2021,TX,Y,2/15/2020,100,2/15/2020,HGR,,N,N,N,N,N,Aaa,Aaa,AAA,NR,28595000,331415000,3/4/2010,0,0
9151373F8,16,UNIV TX,5,8/15/2024,TX,Y,2/15/2020,100,2/15/2020,HGR,,N,N,N,N,N,Aaa,Aaa,AAA,NR,50650000,331415000,3/4/2010,0,0
786110SU1,13,SACRAMENTO COPS-REF,5.75,2/1/2030,CA,Y,2/1/2020,100,2/1/2020,GEN,,N,N,N,N,N,Baa2,Baa2,A-,NR,22310000,126105000,3/4/2010,7,8
346668DD5,30,FORSYTH PCR,5,5/1/2033,MT,Y,3/11/2020,102,3/11/2022,POL,,N,N,N,N,N,A3,A3,A-,NR,97800000,121400000,3/3/2010,6,6
796237TX3,10,SAN ANTONIO GEN IMPT,5,2/1/2019,TX,N,,,,GOB,,N,N,N,N,N,Aa1,Aa1,AAA,NR,26810000,156255000,3/3/2010,0.5,1
64990HBU3,15,NY DORM-UNREF-B-MENTA,5,8/15/2019,NY,N,,,,HGR,,N,N,N,N,N,NR,NR,AA-,NR,24745000,252830000,2/26/2010,3,100
64990HBW9,11,NY DORM-UNREF-B-MENTA,5,8/15/2021,NY,Y,8/15/2020,100,8/15/2020,HGR,,N,N,N,N,N,NR,NR,AA-,NR,27595000,252830000,2/26/2010,3,100
64990HBY5,14,NY DORM-UNREF-B-MENTA,5,8/15/2023,NY,Y,8/15/2020,100,8/15/2020,HGR,,N,N,N,N,N,NR,NR,AA-,NR,14855000,252830000,2/26/2010,3,100
64990HCG3,10,NY DORM-UNREF-B-MENTA,5,8/15/2024,NY,Y,8/15/2020,100,8/15/2020,HGR,,N,N,N,N,N,NR,NR,AA-,NR,5090000,252830000,2/26/2010,3,100
396706EQ2,10,GREENVILLE ELEC-RF/IM,5,2/15/2035,TX,Y,2/15/2019,100,2/15/2019,PWR,,N,N,N,N,N,A2,A2,A,NR,14260000,52410000,2/26/2010,5,5
472736N78,11,JEFFERSON SD #R1-RF,5,12/15/2019,CO,N,,,,SCD,ST AID WITHHLDG,N,N,N,N,N,Aa3,Aa3,AA-,AA-,27740000,233400000,2/26/2010,3,3
472736P76,15,JEFFERSON SD #R1-RF,5,12/15/2018,CO,N,,,,SCD,ST AID WITHHLDG,N,N,N,N,N,Aa3,Aa3,AA-,AA-,25480000,233400000,2/26/2010,3,3
155498BQ0,25,CENT TX REGL SR LIEN,5.75,1/1/2025,TX,Y,1/1/2020,100,1/1/2020,TRN,,N,N,N,N,N,Baa3,Baa3,BBB-,NR,42095000,94879710.45,2/26/2010,9,9
60636WPQ2,20,MO HWYS-A-FED REIMBUR,2.5,5/1/2016,MO,N,,,,TRN,,N,N,N,N,N,Aa2,Aa2,AA+,NR,11445000,185000000,2/25/2010,1.5,2
68608JLL3,21,OR FACS-REF-A-SAMARIT,5.25,10/1/2040,OR,Y,10/1/2020,100,10/1/2020,FAC,,N,N,N,N,N,NR,NR,A-,NR,50255000,122055000,2/24/2010,6,100
59334DGU2,41,MIAMI ETC W/S SYS,5,10/1/2034,FL,Y,10/1/2020,100,10/1/2020,UTL,,N,N,N,N,N,A1,A1,A+,NR,160810000,594330000,2/24/2010,4,4
59334DGP3,10,MIAMI ETC W/S SYS,5,10/1/2029,FL,Y,10/1/2020,100,10/1/2020,UTL,AGM,N,N,N,Y,N,Aa3,A1,AAA,A+,33965000,594330000,2/24/2010,1.5,4
59334DGQ1,18,MIAMI ETC W/S SYS,4.625,10/1/2030,FL,Y,10/1/2020,100,10/1/2020,UTL,AGM,N,N,N,Y,N,Aa3,A1,AAA,A+,35660000,594330000,2/24/2010,1.5,4
59334DGZ1,66,MIAMI ETC W/S SYS,5,10/1/2039,FL,Y,10/1/2020,100,10/1/2020,UTL,AGM,N,N,N,Y,N,Aa3,A1,AAA,A+,250590000,594330000,2/24/2010,1.5,4
5741925G1,13,MARYLAND ST-B-REF,5,3/1/2018,MD,N,,,,GOB,,N,N,N,N,N,Aaa,Aaa,AAA,NR,60600000,595315000,2/24/2010,0,0
5741925K2,13,MARYLAND ST-B-REF,5,3/1/2021,MD,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Aaa,Aaa,AAA,NR,34405000,595315000,2/24/2010,0,0
5741925M8,13,MARYLAND ST-B-REF,3.125,3/1/2023,MD,Y,3/1/2020,100,3/1/2020,GOB,,N,N,N,N,N,Aaa,Aaa,AAA,NR,17045000,595315000,2/24/2010,0,0
452152CK5,15,IL ST REF,5,1/1/2012,IL,N,,,,GOB,,N,N,N,N,N,A2,A2,A+,NR,71905000,1501300000,2/19/2010,4.5,5
452152CM1,23,IL ST REF,5,1/1/2015,IL,N,,,,GOB,,N,N,N,N,N,A2,A2,A+,NR,108510000,1501300000,2/19/2010,4.5,5
452152CN9,16,IL ST REF,5,1/1/2016,IL,N,,,,GOB,,N,N,N,N,N,A2,A2,A+,NR,100000000,1501300000,2/19/2010,4.5,5
452152CQ2,18,IL ST REF,5,1/1/2018,IL,N,,,,GOB,,N,N,N,N,N,A2,A2,A+,NR,131455000,1501300000,2/19/2010,4.5,5
452152CR0,21,IL ST REF,5,1/1/2019,IL,N,,,,GOB,,N,N,N,N,N,A2,A2,A+,NR,56605000,1501300000,2/19/2010,4.5,5
452152CU3,13,IL ST REF,5,1/1/2022,IL,Y,1/1/2020,100,1/1/2020,GOB,,N,N,N,N,N,A2,A2,A+,NR,54055000,1501300000,2/19/2010,4.5,5
452152CW9,25,IL ST REF,5,1/1/2024,IL,Y,1/1/2020,100,1/1/2020,GOB,,N,N,N,N,N,A2,A2,A+,NR,53295000,1501300000,2/19/2010,4.5,5
586158ML8,15,MEMPHIS ELEC,5,12/1/2014,TN,N,,,,PWR,,N,N,N,N,N,Aa2,Aa2,AA+,NR,97765000,460050000,2/19/2010,1.5,2
586158MM6,19,MEMPHIS ELEC,5,12/1/2015,TN,N,,,,PWR,,N,N,N,N,N,Aa2,Aa2,AA+,NR,100930000,460050000,2/19/2010,1.5,2
586158MN4,13,MEMPHIS ELEC,5,12/1/2016,TN,N,,,,PWR,,N,N,N,N,N,Aa2,Aa2,AA+,NR,107935000,460050000,2/19/2010,1.5,2
586158MP9,12,MEMPHIS ELEC,5,12/1/2017,TN,N,,,,PWR,,N,N,N,N,N,Aa2,Aa2,AA+,NR,83350000,460050000,2/19/2010,1.5,2
586158MQ7,17,MEMPHIS ELEC,5,12/1/2018,TN,N,,,,PWR,,N,N,N,N,N,Aa2,Aa2,AA+,NR,50070000,460050000,2/19/2010,1.5,2
01728AW36,12,ALLEGHENY HOSP-A,3,5/15/2011,PA,N,,,,MED,,N,N,N,N,N,Aa3,Aa3,A+,NR,28840000,373440000,2/19/2010,3.5,3
70917RYX7,49,PA HGR ED-E-UNIV PITT,5,5/15/2031,PA,Y,5/15/2020,100,5/15/2020,MED,,N,N,N,N,N,Aa3,Aa3,A+,NR,110885000,334305000,2/19/2010,3.5,3
544646A51,18,L A USD SER KRY,5.25,7/1/2034,CA,Y,7/1/2020,100,7/1/2020,SCD,,N,N,N,N,N,Aa3,Aa3,AA-,NR,193965000,1807950000,2/19/2010,3,3
544646ZN5,10,LOS ANGELES USD-RF-A,4,7/1/2015,CA,N,,,,SCD,,N,N,N,N,N,Aa3,Aa3,AA-,NR,17290000,1807950000,2/19/2010,3,3
544646ZT2,21,L A USD SER KRY,5,7/1/2018,CA,N,,,,SCD,,N,N,N,N,N,Aa3,Aa3,AA-,NR,39680000,1807950000,2/19/2010,3,3
452152BU4,17,IL ST REF,5,1/1/2017,IL,N,,,,GOB,AGM,N,N,N,Y,N,Aa3,A2,AAA,A+,79775000,1501300000,2/19/2010,1.5,4.5
452152BW0,20,IL ST REF,5,1/1/2019,IL,N,,,,GOB,AGM,N,N,N,Y,N,Aa3,A2,AAA,A+,66605000,1501300000,2/19/2010,1.5,4.5
452152BY6,20,IL ST REF,5,1/1/2021,IL,Y,1/1/2020,100,1/1/2020,GOB,AGM,N,N,N,Y,N,Aa3,A2,AAA,A+,95000000,1501300000,2/19/2010,1.5,4.5
452152BZ3,12,IL ST REF,4,1/1/2022,IL,Y,1/1/2020,100,1/1/2020,GOB,AGM,N,N,N,Y,N,Aa3,A2,AAA,A+,25325000,1501300000,2/19/2010,1.5,4.5
452152CD1,18,IL ST REF,5,1/1/2016,IL,N,,,,GOB,AGM,N,N,N,Y,N,Aa3,A2,AAA,A+,69215000,1501300000,2/19/2010,1.5,4.5
452152CE9,17,IL ST REF,5,1/1/2018,IL,N,,,,GOB,AGM,N,N,N,Y,N,Aa3,A2,AAA,A+,30175000,1501300000,2/19/2010,1.5,4.5
